"messageKey","","en","de","es","fr","pt","ru","zh"
"loadout.stat.group.name.capacity","Capacity","Capacity","","","","","",""
"loadout.stat.group.name.damage","Damage","Damage","","","","","",""
"loadout.stat.group.name.general","General","General","","","","","",""
"loadout.stat.group.name.movement","Movement","Movement","","","","","",""
"loadout.stat.group.name.noise","Noise","Noise","","","","","",""
"loadout.stat.group.name.other","Other","Other","","","","","",""
"loadout.stat.group.name.power","Power","Power","","","","","",""
"loadout.stat.group.name.resistance","Resistance","Resistance","","","","","",""
"loadout.stat.group.name.shield","Shield","Shield","","","","","",""
